sample	abundance
EST6_prok_bin_001	0.039871
EST6_prok_bin_004	0.015562
EST6_prok_bin_008	0.012056
EST6_prok_bin_009	0.057175
EST6_prok_bin_013	0.011517
EST6_prok_bin_014	0.012975
EST6_prok_bin_020	0.479610
EST6_prok_bin_022	0.011939
EST6_prok_bin_023	0.019913
EST6_prok_bin_029	0.032317
EST6_prok_bin_030	0.041578
EST6_prok_bin_040	0.028843
EST6_prok_bin_047	0.023898
EST6_prok_bin_055	0.046459
EST6_prok_bin_056	0.027254
EST6_prok_bin_057	0.021654
EST6_prok_bin_064	0.020005
EST6_prok_bin_065	0.019809
EST6_prok_bin_067	0.018147
EST6_prok_bin_068	0.015139
EST6_prok_bin_069	0.028135
EST6_prok_bin_074	0.016144
