WP_003097235.1	iJN1463.PP_5418	100	85	0	0	1	85	1	85	4.13e-50	152
WP_003247318.1	iJN1463.PP_0786	100	320	0	0	1	320	1	320	1.29e-229	625
WP_003247410.1	iJN1463.PP_0722	100	313	0	0	1	313	1	313	1.28e-221	604
WP_003248125.1	iJN1463.PP_2929	100	365	0	0	1	365	1	365	6.85e-275	743
WP_003248539.1	iJN1463.PP_0843	100	128	0	0	1	128	1	128	2.16e-90	257
WP_003249017.1	iIT341.HP1228	39.9	148	76	6	7	148	6	146	3.25e-24	91.7
WP_003249204.1	iJN1463.PP_5054	100	84	0	0	1	84	1	84	5.42e-59	174
WP_003249375.1	iJN1463.PP_4967	100	396	0	0	1	396	1	396	2.56e-288	780
WP_003250040.1	iJN1463.PP_4679	100	163	0	0	1	163	1	163	5.19e-108	304
WP_003250043.1	iJN1463.PP_4678	100	338	0	0	1	338	1	338	1.27e-245	667
WP_003250109.1	iJN1463.PP_2226	98.9	92	1	0	1	92	1	92	1.05e-53	161
WP_003250128.1	iJN1463.PP_2229	100	114	0	0	1	114	1	114	1.95e-75	218
WP_003251131.1	iJN1463.PP_3952	100	213	0	0	1	213	1	213	1.08e-154	426
WP_003251427.1	iJN1463.PP_4119	100	137	0	0	1	137	1	137	3.91e-95	270
WP_003251442.1	iJN1463.PP_4126	100	182	0	0	1	182	1	182	6.12e-123	343
WP_003251446.1	iJN1463.PP_4128	100	102	0	0	1	102	1	102	7.50e-63	185
WP_003251601.1	iJN1463.PP_4655	98.0	201	4	0	1	201	1	201	8.94e-148	408
WP_003251799.1	iJN1463.PP_1303	100	305	0	0	1	305	1	305	1.29e-226	616
WP_003251825.1	iJN1463.PP_1318	99.8	403	1	0	1	403	1	403	4.42e-288	780
WP_003252272.1	iJN1463.PP_1645	28.0	107	74	2	4	108	5	110	3.87e-05	39.7
WP_003252673.1	iHN637.CLJU_RS10465	34.7	334	210	5	21	348	302	633	2.47e-61	213
WP_003252789.1	iJN1463.PP_1823	100	181	0	0	1	181	10	190	1.64e-124	348
WP_003253189.1	iJN1463.PP_5417	99.4	156	1	0	1	156	1	156	2.56e-61	186
WP_003253191.1	iJN1463.PP_5416	100	178	0	0	1	178	1	178	2.81e-117	329
WP_003253263.1	iAF987.Gmet_0769	35.4	144	93	0	5	148	2	145	4.44e-23	88.6
WP_003253263.1	iCHOv1.100755154	34.5	139	89	1	6	142	167	305	4.39e-20	84.3
WP_003253341.1	iAF987.Gmet_1706	39.0	118	70	1	5	122	2	117	4.19e-21	89.4
WP_003253341.1	iAF987.Gmet_0069	34.6	127	81	2	4	128	3	129	3.44e-19	84.0
WP_003253367.1	iJN1463.PP_5307	100	142	0	0	1	142	1	142	7.20e-98	277
WP_003253405.1	iJN1463.PP_5291	100	213	0	0	1	213	1	213	4.21e-152	420
WP_003253420.1	iAF987.Gmet_0069	31.4	121	75	3	3	117	5	123	4.14e-12	63.9
WP_003253420.1	iAF987.Gmet_1914	32.1	106	72	0	2	107	3	108	1.46e-11	62.8
WP_003253420.1	iAF987.Gmet_1706	33.6	119	75	2	1	117	1	117	1.26e-10	59.7
WP_003253420.1	iAF987.Gmet_2999	31.3	112	75	1	3	112	10	121	4.68e-10	58.2
WP_003253422.1	iJN1463.PP_3630	76.3	447	106	0	1	447	1	447	8.18e-258	707
WP_003253457.1	iAF987.Gmet_1914	35.8	106	67	1	2	106	3	108	7.62e-15	72.4
WP_003253535.1	iYO844.BSU22070	75.3	190	47	0	1	190	1	190	1.19e-95	275
WP_003253661.1	iCN900.CD630_02510	26.8	265	168	6	135	387	130	380	2.50e-09	58.5
WP_003253953.1	iJN1463.PP_3720	29.5	146	80	5	6	131	5	147	5.44e-11	59.3
WP_003253954.1	iSynCJ816.SGL_RS16080	37.9	95	57	2	11	104	18	111	1.64e-12	62.4
WP_003254203.1	iJN1463.PP_4185	100	294	0	0	1	294	1	294	1.17e-212	580
WP_003254328.1	iJN1463.PP_4285	100	117	0	0	1	117	1	117	2.84e-83	238
WP_003254783.1	iYS854.USA300HOU_RS11550	30.3	145	101	0	11	155	3	147	4.85e-21	83.2
WP_003254832.1	iJN1463.PP_1168	100	175	0	0	1	175	20	194	4.74e-121	339
WP_003254878.1	iJN1463.PP_1138	99.6	255	1	0	1	255	1	255	2.07e-182	500
WP_003255050.1	iJN1463.PP_1016	100	302	0	0	1	302	1	302	1.74e-218	595
WP_003255140.1	iYS854.USA300HOU_RS05395	31.7	82	55	1	1	82	1	81	1.37e-10	52.4
WP_003255140.1	iYO844.BSU13900	32.9	82	54	1	1	82	1	81	4.37e-09	48.5
WP_003255140.1	iYL1228.KPN_02762	36.7	79	49	1	4	82	4	81	4.09e-09	48.5
WP_003255140.1	iML1515.b2415	35.4	79	50	1	4	82	4	81	8.18e-09	47.8
WP_003255140.1	STM_v1_0.STM2431	35.4	79	50	1	4	82	4	81	8.18e-09	47.8
WP_003255140.1	iSbBS512_1146.SbBS512_E2765	35.4	79	50	1	4	82	4	81	8.18e-09	47.8
WP_003255140.1	iSDY_1059.SDY_2612	35.4	79	50	1	4	82	4	81	8.18e-09	47.8
WP_003255140.1	iSF_1195.SF2470	35.4	79	50	1	4	82	4	81	8.18e-09	47.8
WP_003255140.1	iSSON_1240.SSON_2504	35.4	79	50	1	4	82	4	81	8.18e-09	47.8
WP_003255163.1	iSbBS512_1146.SbBS512_E0599	25.2	345	212	13	13	326	8	337	3.24e-08	54.7
WP_003255163.1	STM_v1_0.STM0659	27.8	180	108	4	13	174	8	183	4.32e-08	54.3
WP_003255163.1	iML1515.b0650	25.2	345	212	13	13	326	8	337	5.73e-08	53.9
WP_003255163.1	iSSON_1240.SSON_0604	24.9	345	213	13	13	326	8	337	7.61e-08	53.5
WP_003255165.1	iJN1463.PP_0932	100	95	0	0	1	95	8	102	7.97e-63	185
WP_003255244.1	iAF987.Gmet_1919	39.8	113	68	0	12	124	2	114	5.21e-17	77.0
WP_003255330.1	iJN1463.PP_0560	99.3	151	1	0	1	151	1	151	1.94e-104	294
WP_003255391.1	iJN1463.PP_0520	99.4	167	1	0	1	167	1	167	3.00e-136	376
WP_003255395.1	iJN1463.PP_0517	100	158	0	0	1	158	1	158	3.29e-104	294
WP_003255449.1	iJN1463.PP_1082	47.7	155	79	2	1	154	1	154	7.08e-39	129
WP_003255449.1	iML1515.b3336	44.5	155	84	2	1	154	1	154	1.76e-34	117
WP_003258001.1	iJN1463.PP_1100	99.5	188	1	0	1	188	1	188	5.45e-138	382
WP_003259286.1	STM_v1_0.STM3354	73.4	203	52	1	2	202	3	205	2.50e-105	301
WP_003259286.1	iYL1228.KPN_03639	71.4	203	56	1	2	202	3	205	1.37e-102	294
WP_003259286.1	iML1515.b3062	68.8	202	62	1	1	202	1	201	7.66e-99	284
WP_003259286.1	iSF_1195.SF3103	68.8	202	62	1	1	202	1	201	7.66e-99	284
WP_003259286.1	iSSON_1240.SSON_3199	68.3	202	63	1	1	202	1	201	8.91e-98	281
WP_003298414.1	iYL1228.KPN_03904	28.2	517	293	19	69	537	45	531	3.14e-41	156
WP_003298414.1	iML1515.b3546	27.8	514	302	18	65	537	51	536	1.59e-37	145
WP_003298414.1	iSbBS512_1146.SbBS512_E3983	27.8	514	302	18	65	537	51	536	1.59e-37	145
WP_003298414.1	iSSON_1240.SSON_3844	27.8	514	302	18	65	537	62	547	1.78e-37	145
WP_003298414.1	iSF_1195.SF3580	27.6	514	303	18	65	537	62	547	6.09e-37	144
WP_003298414.1	STM_v1_0.STM3635	27.8	500	297	20	79	537	60	536	1.00e-36	143
WP_004374528.1	iJN1463.PP_3277	100	93	0	0	1	93	1	93	5.75e-65	190
WP_004375185.1	iJN1463.PP_0392	99.2	118	1	0	1	118	1	118	8.77e-83	237
WP_004375926.1	iJN1463.PP_2439	99.5	187	1	0	1	187	1	187	3.04e-139	385
WP_004575216.1	iJN1463.PP_5289	100	301	0	0	1	301	1	301	6.04e-214	583
WP_008090067.1	iJN1463.PP_2012	99.0	296	3	0	1	296	20	315	4.47e-218	594
WP_008090219.1	iPC815.YPO0682	40.7	204	110	3	10	211	120	314	2.32e-33	122
WP_008090219.1	iYL1228.KPN_03426	38.9	203	115	4	10	211	6	200	1.10e-33	120
WP_008090219.1	iSbBS512_1146.SbBS512_E3434	38.7	194	112	3	10	201	11	199	4.17e-31	114
WP_008090219.1	STM_v1_0.STM3159	38.3	193	114	2	10	201	11	199	5.85e-31	114
WP_008090219.1	iML1515.b3006	38.1	194	113	3	10	201	11	199	3.19e-30	112
WP_008090219.1	iSDY_1059.SDY_3067	38.1	194	113	3	10	201	11	199	3.19e-30	112
WP_008090219.1	iSSON_1240.SSON_3149	38.1	194	113	3	10	201	11	199	3.19e-30	112
WP_008090219.1	iJN1463.PP_5306	37.0	192	116	2	10	201	93	279	4.08e-29	110
WP_008090219.1	iSF_1195.SF3051	38.1	194	113	3	10	201	11	199	8.83e-30	110
WP_008091498.1	iJN1463.PP_0293	99.2	256	2	0	1	256	1	256	2.61e-181	497
WP_008091902.1	iJN1463.PP_4193	100	128	0	0	1	128	1	128	1.92e-84	242
WP_008091906.1	iJN1463.PP_4190	98.7	234	3	0	1	234	1	234	4.92e-175	479
WP_008091914.1	iJN1463.PP_4186	97.7	388	9	0	1	388	1	388	3.12e-269	731
WP_008092225.1	iJN1463.PP_5420	99.3	135	1	0	1	135	1	135	3.24e-93	265
WP_008092560.1	iJN1463.PP_0849	97.9	141	3	0	1	141	1	141	8.08e-90	256
WP_008094893.1	iJN1463.PP_1602	99.3	146	1	0	1	146	18	163	2.04e-105	297
WP_008095055.1	iML1515.b0543	47.3	110	58	0	1	110	1	110	3.69e-25	90.9
WP_008095172.1	iAF692.Mbar_A1559	44.6	65	35	1	6	69	3	67	1.04e-09	48.9
WP_008096606.1	iJN1463.PP_0219	99.1	214	2	0	1	214	1	214	2.23e-143	398
WP_008096634.1	iIT341.HP0588	36.5	74	34	4	11	74	3	73	1.29e-06	42.4
WP_008097482.1	iJN1463.PP_1140	100	307	0	0	1	307	1	307	1.20e-207	568
WP_008365141.1	iJN1463.PP_0380	95.7	23	1	0	1	23	1	23	2.48e-12	52.4
WP_009395904.1	iJN1463.PP_0037	100	429	0	0	7	435	1	429	1.29e-319	862
WP_009682881.1	iJN1463.PP_0289	99.5	197	1	0	1	197	14	210	1.67e-144	400
WP_009686024.1	iJN1463.PP_1996	98.7	297	4	0	1	297	1	297	2.35e-209	572
WP_009686950.1	iJN1463.PP_1593	93.9	246	15	0	1	246	1	246	4.24e-162	448
WP_010455123.1	iJN1463.PP_0380	91.3	23	2	0	1	23	1	23	1.44e-11	50.4
WP_010951438.1	iJN1463.PP_0026	100	301	0	0	1	301	1	301	1.85e-208	570
WP_010951444.1	iAF987.Gmet_0887	33.0	367	212	12	25	372	34	385	2.45e-42	157
WP_010951445.1	iML1515.b2254	29.2	308	195	6	15	305	10	311	1.97e-36	133
WP_010951445.1	iSSON_1240.SSON_2315	29.2	308	195	6	15	305	10	311	1.97e-36	133
WP_010951445.1	iSF_1195.SF2333	28.9	308	196	6	15	305	10	311	3.85e-36	132
WP_010951445.1	STM_v1_0.STM2298	29.3	314	203	7	7	305	2	311	3.25e-34	127
WP_010951445.1	iAF987.Gmet_0885	26.9	309	206	5	13	307	4	306	2.35e-33	124
WP_010951445.1	iPC815.YPO2421	28.6	308	197	6	15	305	10	311	4.62e-33	124
WP_010951445.1	iYL1228.KPN_03846	28.1	310	196	6	15	305	10	311	3.36e-32	122
WP_010951454.1	iJN1463.PP_0043	100	1053	0	0	1	1053	1	1053	0.0	1977
WP_010951455.1	iJN1463.PP_0044	100	416	0	0	1	416	1	416	2.20e-274	746
WP_010951456.1	iJN1463.PP_0045	100	423	0	0	1	423	1	423	9.98e-286	775
WP_010952700.1	iJN1463.PP_1636	100	121	0	0	1	121	1	121	4.13e-78	225
WP_010953755.1	iJN1463.PP_2849	100	207	0	0	1	207	1	207	6.01e-149	411
WP_012051653.1	iJN1463.PP_4326	99.5	222	1	0	1	222	1	222	1.95e-141	394
WP_012269869.1	iJN1463.PP_0061	99.7	315	1	0	1	315	1	315	2.08e-237	644
WP_012269918.1	iJN1463.PP_0113	99.6	223	1	0	1	223	1	223	1.61e-145	404
WP_012269923.1	iJN1463.PP_0118	99.2	257	2	0	1	257	1	257	6.44e-187	511
WP_012270095.1	iJN1463.PP_0294	98.7	392	5	0	1	392	1	392	1.16e-282	765
WP_012270121.1	iJN1463.PP_0326	98.1	210	4	0	1	210	1	210	5.65e-135	376
WP_012270325.1	iJN1463.PP_0558	99.8	450	1	0	1	450	1	450	0.0	899
WP_012270545.1	iAF987.Gmet_0069	33.6	128	80	2	3	125	5	132	5.99e-15	72.0
WP_012270545.1	iAF987.Gmet_1706	34.5	119	73	2	1	116	1	117	2.71e-13	67.4
WP_012270588.1	iJN1463.PP_0838	97.8	272	6	0	1	272	1	272	2.23e-190	521
WP_012270863.1	iJN1463.PP_1625	96.3	107	4	0	1	107	1	107	8.83e-80	228
WP_012271080.1	iCN900.CD630_36320	29.3	140	97	1	25	164	3	140	1.35e-13	65.5
WP_012271164.1	iJN1463.PP_1916	99.8	414	1	0	1	414	1	414	1.11e-298	807
WP_012271240.1	iCN718.ABAYE_RS18215	62.9	251	93	0	9	259	8	258	2.47e-116	333
WP_012271598.1	iJN1463.PP_2341	99.2	118	1	0	1	118	1	118	3.04e-92	261
WP_012272468.1	iCN900.CD630_04310	23.3	557	317	24	2	528	7	483	1.48e-19	91.3
WP_012272468.1	iJN1463.PP_0118	27.0	189	134	1	322	506	8	196	9.57e-18	82.8
WP_012272468.1	STM_v1_0.STM1226	28.1	231	139	7	311	516	3	231	4.28e-17	82.8
WP_012273289.1	iJN1463.PP_4116	98.2	441	8	0	1	441	1	441	0.0	884
WP_012273294.1	iJN1463.PP_4122	99.4	165	1	0	1	165	1	165	2.68e-120	335
WP_012273297.1	iJN1463.PP_4125	96.4	335	12	0	1	335	1	335	2.09e-238	648
WP_012273436.1	iJN1463.PP_4290	98.7	451	6	0	1	451	1	451	1.34e-311	843
WP_012273519.1	iJN1463.PP_4379	98.7	309	4	0	1	309	1	309	8.36e-225	612
WP_012273762.1	iAF987.Gmet_2727	37.0	100	62	1	67	165	295	394	3.24e-09	54.3
WP_012273765.1	iYL1228.KPN_03425	41.9	136	62	4	13	148	17	135	3.75e-20	80.5
WP_012273765.1	iPC815.YPO0683	39.6	134	64	4	13	146	17	133	6.16e-19	77.4
WP_012273765.1	iML1515.b3005	40.4	136	64	5	13	148	17	135	8.27e-19	77.0
WP_012273765.1	iSbBS512_1146.SbBS512_E3433	40.4	136	64	5	13	148	17	135	8.27e-19	77.0
WP_012273765.1	iSF_1195.SF3050	40.4	136	64	5	13	148	17	135	8.27e-19	77.0
WP_012273765.1	iSSON_1240.SSON_3148	40.4	136	64	5	13	148	17	135	8.27e-19	77.0
WP_012273765.1	iJN1463.PP_5307	41.4	140	63	4	13	149	17	140	1.68e-18	76.3
WP_012273765.1	iSDY_1059.SDY_3068	40.4	136	64	5	13	148	17	135	2.32e-18	75.9
WP_012273765.1	STM_v1_0.STM3158	40.4	136	64	5	13	148	17	135	6.48e-18	74.7
WP_012273884.1	STM_v1_0.STM0402	66.3	199	66	1	3	200	2	200	1.96e-98	283
WP_012274070.1	iJN1463.PP_1323	99.0	195	2	0	3	197	1	195	3.11e-132	368
WP_012274372.1	iJN1463.PP_4801	98.1	215	4	0	1	215	2	216	1.03e-151	419
WP_012274595.1	iJN1463.PP_5040	99.1	336	3	0	1	336	1	336	4.42e-245	665
WP_012274659.1	iJN1463.PP_0220	41.6	221	127	2	2	220	33	253	4.68e-56	182
WP_012274659.1	iPC815.YPO1073	42.7	220	122	2	1	216	1	220	5.96e-54	176
WP_012274659.1	iYO844.BSU32750	37.9	224	135	2	1	220	1	224	2.75e-51	169
WP_012274659.1	iYL1228.KPN_00213	41.4	220	125	2	1	216	1	220	4.08e-51	168
WP_012274659.1	STM_v1_0.STM0247	41.4	220	125	2	1	216	1	220	5.74e-51	168
WP_012274659.1	iJN1463.PP_0114	39.9	228	132	3	1	223	1	228	1.32e-50	167
WP_012274659.1	iSDY_1059.SDY_0218	40.9	220	126	2	1	216	1	220	4.50e-50	166
WP_012274659.1	iSbBS512_1146.SbBS512_E0193	40.9	220	126	2	1	216	1	220	6.34e-50	165
WP_012274659.1	iSSON_1240.SSON_0213	40.9	220	126	2	1	216	1	220	6.34e-50	165
WP_012274659.1	iML1515.b0199	40.5	220	127	2	1	216	1	220	8.93e-50	165
WP_012274659.1	iSF_1195.SF0190	40.9	220	126	2	1	216	1	220	1.77e-49	164
WP_012274719.1	iJN1463.PP_5307	39.8	118	70	1	14	130	17	134	1.40e-18	75.9
WP_012274719.1	iML1515.b3005	31.5	124	85	0	7	130	10	133	4.71e-16	69.3
WP_012274719.1	STM_v1_0.STM3158	32.3	124	84	0	7	130	10	133	4.71e-16	69.3
WP_012274719.1	iSbBS512_1146.SbBS512_E3433	31.5	124	85	0	7	130	10	133	4.71e-16	69.3
WP_012274719.1	iSF_1195.SF3050	31.5	124	85	0	7	130	10	133	4.71e-16	69.3
WP_012274719.1	iSSON_1240.SSON_3148	31.5	124	85	0	7	130	10	133	4.71e-16	69.3
WP_012274719.1	iSDY_1059.SDY_3068	31.5	124	85	0	7	130	10	133	9.35e-16	68.6
WP_012274724.1	iJN1463.PP_5170	99.3	272	2	0	1	272	1	272	8.35e-186	510
WP_012274768.1	iJN1463.PP_5215	95.3	107	5	0	2	108	3	109	2.07e-72	210
